## Fri Dec  2 12:43:26 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_dtjj1h_k --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_dtjj1h_k --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_dtjj1h_k/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gene-OL67_RS04750	391619.PGA1_c09120	2.81e-233	642.0	COG0502@1|root,COG0502@2|Bacteria,1MVFF@1224|Proteobacteria,2TSD6@28211|Alphaproteobacteria,34E59@302485|Phaeobacter	28211|Alphaproteobacteria	H	Catalyzes the conversion of dethiobiotin (DTB) to biotin by the insertion of a sulfur atom into dethiobiotin via a radical- based mechanism	bioB	-	2.8.1.6	ko:K01012	ko00780,ko01100,map00780,map01100	M00123,M00573,M00577	R01078	RC00441	ko00000,ko00001,ko00002,ko01000	-	-	-	BATS,Radical_SAM
gene-OL67_RS04755	1002340.AFCF01000011_gene2608	1.52e-246	680.0	COG0156@1|root,COG0156@2|Bacteria,1MVVH@1224|Proteobacteria,2TTAK@28211|Alphaproteobacteria,34EQ0@302485|Phaeobacter	28211|Alphaproteobacteria	H	Aminotransferase class I and II	bioF	-	2.3.1.47	ko:K00652	ko00780,ko01100,map00780,map01100	M00123,M00573,M00577	R03210,R10124	RC00004,RC00039,RC02725	ko00000,ko00001,ko00002,ko01000,ko01007	-	-	-	Aminotran_1_2
gene-OL67_RS04760	1002340.AFCF01000011_gene2607	8.62e-138	391.0	COG0132@1|root,COG0132@2|Bacteria,1RDRK@1224|Proteobacteria,2U5AJ@28211|Alphaproteobacteria,34EJJ@302485|Phaeobacter	28211|Alphaproteobacteria	H	Catalyzes a mechanistically unusual reaction, the ATP- dependent insertion of CO2 between the N7 and N8 nitrogen atoms of 7,8-diaminopelargonic acid (DAPA) to form an ureido ring	bioD	GO:0003674,GO:0003824,GO:0004141,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006732,GO:0006766,GO:0006767,GO:0006768,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009102,GO:0009108,GO:0009110,GO:0009987,GO:0016053,GO:0016874,GO:0016879,GO:0016882,GO:0017144,GO:0018130,GO:0019752,GO:0032787,GO:0034641,GO:0042364,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044249,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0051186,GO:0051188,GO:0071704,GO:0072330,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	2.1.1.197,6.3.3.3	ko:K01935,ko:K02169	ko00780,ko01100,map00780,map01100	M00123,M00572,M00573,M00577	R03182,R09543	RC00003,RC00460,RC00868	ko00000,ko00001,ko00002,ko01000	-	-	-	AAA_26
gene-OL67_RS04765	439497.RR11_1868	1.83e-315	858.0	COG0161@1|root,COG0161@2|Bacteria,1MU2N@1224|Proteobacteria,2TQND@28211|Alphaproteobacteria,4NBB3@97050|Ruegeria	28211|Alphaproteobacteria	H	Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family	bioA	-	2.6.1.62	ko:K00833	ko00780,ko01100,map00780,map01100	M00123,M00573,M00577	R03231	RC00006,RC00887	ko00000,ko00001,ko00002,ko01000,ko01007	-	-	-	Aminotran_3
gene-OL67_RS04770	1423144.Gal_02575	1.19e-136	387.0	COG2830@1|root,COG2830@2|Bacteria,1N77V@1224|Proteobacteria,2VGSP@28211|Alphaproteobacteria,34FFN@302485|Phaeobacter	28211|Alphaproteobacteria	S	Protein of unknown function (DUF452)	-	-	3.1.1.85	ko:K09789	ko00780,ko01100,map00780,map01100	M00572	R09725	RC00460,RC00461	ko00000,ko00001,ko00002,ko01000	-	-	-	DUF452
gene-OL67_RS04775	1423144.Gal_02574	6.03e-176	491.0	COG4106@1|root,COG4106@2|Bacteria,1N1SE@1224|Proteobacteria,2UA3W@28211|Alphaproteobacteria,34FCJ@302485|Phaeobacter	28211|Alphaproteobacteria	S	Methyltransferase domain	bioC	-	2.1.1.197,6.3.3.3	ko:K01935,ko:K02169	ko00780,ko01100,map00780,map01100	M00123,M00572,M00573,M00577	R03182,R09543	RC00003,RC00460,RC00868	ko00000,ko00001,ko00002,ko01000	-	-	-	Methyltransf_11,Methyltransf_12,Methyltransf_23,Methyltransf_25
gene-OL67_RS04780	1423144.Gal_02573	9.4e-119	340.0	COG1618@1|root,COG1618@2|Bacteria,1RHUK@1224|Proteobacteria,2U9YB@28211|Alphaproteobacteria,34FDM@302485|Phaeobacter	28211|Alphaproteobacteria	F	Protein of unknown function (DUF2478)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2478
gene-OL67_RS04790	1423144.Gal_02571	7.99e-179	498.0	COG0566@1|root,COG0566@2|Bacteria,1MWCM@1224|Proteobacteria,2TUG7@28211|Alphaproteobacteria,34E2S@302485|Phaeobacter	28211|Alphaproteobacteria	J	RNA 2'-O ribose methyltransferase substrate binding	rlmB	-	2.1.1.185	ko:K03218	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	SpoU_methylase,SpoU_sub_bind
gene-OL67_RS04795	391619.PGA1_c09210	2.52e-99	291.0	COG3350@1|root,COG3350@2|Bacteria,1N0GC@1224|Proteobacteria,2UBRM@28211|Alphaproteobacteria,34FS7@302485|Phaeobacter	28211|Alphaproteobacteria	S	YHS domain protein	-	-	-	-	-	-	-	-	-	-	-	-	-
gene-OL67_RS04800	1423144.Gal_02569	2.81e-106	306.0	COG1832@1|root,COG1832@2|Bacteria,1N03D@1224|Proteobacteria,2TUIY@28211|Alphaproteobacteria,34FC5@302485|Phaeobacter	28211|Alphaproteobacteria	S	CoA binding domain	yccU	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464	-	ko:K06929	-	-	-	-	ko00000	-	-	-	CoA_binding_2
gene-OL67_RS04805	391619.PGA1_c09230	1.42e-68	207.0	COG0140@1|root,COG0140@2|Bacteria,1MZEE@1224|Proteobacteria,2UBU3@28211|Alphaproteobacteria,34FRV@302485|Phaeobacter	28211|Alphaproteobacteria	E	Phosphoribosyl-ATP pyrophosphohydrolase	hisE	-	3.6.1.31	ko:K01523	ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230	M00026	R04035	RC00002	ko00000,ko00001,ko00002,ko01000	-	-	-	PRA-PH
gene-OL67_RS04810	391619.PGA1_c09240	6.34e-178	496.0	COG0107@1|root,COG0107@2|Bacteria,1MUS0@1224|Proteobacteria,2TQXD@28211|Alphaproteobacteria,34EHQ@302485|Phaeobacter	28211|Alphaproteobacteria	E	IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisF subunit catalyzes the cyclization activity that produces IGP and AICAR from PRFAR using the ammonia provided by the HisH subunit	hisF	GO:0000107,GO:0003674,GO:0003824,GO:0016740,GO:0016757,GO:0016763	-	ko:K02500	ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230	M00026	R04558	RC00010,RC01190,RC01943	ko00000,ko00001,ko00002,ko01000	-	-	-	His_biosynth
gene-OL67_RS04815	391619.PGA1_c09250	1.01e-110	318.0	2DKN9@1|root,30A10@2|Bacteria,1QTRM@1224|Proteobacteria,2TVWY@28211|Alphaproteobacteria	28211|Alphaproteobacteria	S	Protein of unknown function (DUF2867)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2867
gene-OL67_RS04820	1423144.Gal_02565	9.15e-90	264.0	COG3439@1|root,COG3439@2|Bacteria,1MZ38@1224|Proteobacteria,2UBVK@28211|Alphaproteobacteria,34FIR@302485|Phaeobacter	28211|Alphaproteobacteria	S	Domain of unknown function DUF302	ccrB	-	-	-	-	-	-	-	-	-	-	-	DUF302
gene-OL67_RS04825	1423144.Gal_02564	3.66e-166	465.0	COG0106@1|root,COG0106@2|Bacteria,1MW6S@1224|Proteobacteria,2TRSG@28211|Alphaproteobacteria,34F5F@302485|Phaeobacter	28211|Alphaproteobacteria	E	Histidine biosynthesis protein	hisA	GO:0000105,GO:0000162,GO:0003674,GO:0003824,GO:0003949,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006547,GO:0006568,GO:0006576,GO:0006586,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009308,GO:0009309,GO:0009987,GO:0016053,GO:0016853,GO:0016860,GO:0016861,GO:0018130,GO:0019438,GO:0019752,GO:0034641,GO:0042401,GO:0042430,GO:0042435,GO:0043436,GO:0044106,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046219,GO:0046394,GO:0046483,GO:0052803,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	5.3.1.16	ko:K01814	ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230	M00026	R04640	RC00945	ko00000,ko00001,ko00002,ko01000	-	-	-	His_biosynth
gene-OL67_RS04830	1423144.Gal_02563	1.44e-90	265.0	COG4731@1|root,COG4731@2|Bacteria,1RHN9@1224|Proteobacteria,2U9SP@28211|Alphaproteobacteria,34FJ8@302485|Phaeobacter	28211|Alphaproteobacteria	S	Uncharacterized protein conserved in bacteria (DUF2147)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2147
gene-OL67_RS04835	1423144.Gal_02562	7.67e-56	173.0	COG3831@1|root,COG3831@2|Bacteria,1NBWH@1224|Proteobacteria,2UHVB@28211|Alphaproteobacteria,34FYA@302485|Phaeobacter	28211|Alphaproteobacteria	S	WGR domain	-	-	-	-	-	-	-	-	-	-	-	-	WGR
gene-OL67_RS04840	391619.PGA1_c09300	2.31e-127	362.0	COG1225@1|root,COG1225@2|Bacteria,1RA5K@1224|Proteobacteria,2U6EF@28211|Alphaproteobacteria,34EP3@302485|Phaeobacter	28211|Alphaproteobacteria	O	Redoxin	-	-	-	-	-	-	-	-	-	-	-	-	AhpC-TSA
gene-OL67_RS04845	1423144.Gal_02560	3.2e-157	442.0	COG2207@1|root,COG2207@2|Bacteria,1MY46@1224|Proteobacteria,2U2E8@28211|Alphaproteobacteria,34DUA@302485|Phaeobacter	28211|Alphaproteobacteria	K	Cupin	-	-	-	-	-	-	-	-	-	-	-	-	Cupin_6,HTH_18
gene-OL67_RS04850	391619.PGA1_c09320	3.87e-154	432.0	COG0118@1|root,COG0118@2|Bacteria,1MU4X@1224|Proteobacteria,2TTT4@28211|Alphaproteobacteria,34DU9@302485|Phaeobacter	28211|Alphaproteobacteria	E	IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisH subunit provides the glutamine amidotransferase activity that produces the ammonia necessary to HisF for the synthesis of IGP and AICAR	hisH	-	-	ko:K02501	ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230	M00026	R04558	RC00010,RC01190,RC01943	ko00000,ko00001,ko00002,ko01000	-	-	-	GATase
gene-OL67_RS04855	1423144.Gal_02558	2.18e-138	391.0	COG0131@1|root,COG0131@2|Bacteria,1MWBS@1224|Proteobacteria,2TTVV@28211|Alphaproteobacteria,34EBS@302485|Phaeobacter	28211|Alphaproteobacteria	E	Imidazoleglycerol-phosphate dehydratase	hisB	GO:0000105,GO:0003674,GO:0003824,GO:0004424,GO:0006082,GO:0006520,GO:0006547,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009987,GO:0016053,GO:0016829,GO:0016835,GO:0016836,GO:0018130,GO:0019438,GO:0019752,GO:0034641,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0046394,GO:0046483,GO:0052803,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.6.1.9,3.1.3.15,4.2.1.19	ko:K00817,ko:K01089,ko:K01693	ko00340,ko00350,ko00360,ko00400,ko00401,ko00960,ko01100,ko01110,ko01130,ko01230,map00340,map00350,map00360,map00400,map00401,map00960,map01100,map01110,map01130,map01230	M00026	R00694,R00734,R03013,R03243,R03457	RC00006,RC00017,RC00888,RC00932	ko00000,ko00001,ko00002,ko01000,ko01007	-	-	-	IGPD
gene-OL67_RS04860	391619.PGA1_c09340	6.27e-51	160.0	COG1522@1|root,COG1522@2|Bacteria,1MZDV@1224|Proteobacteria,2UBTU@28211|Alphaproteobacteria,34FU7@302485|Phaeobacter	28211|Alphaproteobacteria	K	Lrp/AsnC ligand binding domain	QU41_18010	-	-	-	-	-	-	-	-	-	-	-	AsnC_trans_reg
gene-OL67_RS04865	391619.PGA1_c09350	0.0	898.0	COG0161@1|root,COG0161@2|Bacteria,1MU2N@1224|Proteobacteria,2TQND@28211|Alphaproteobacteria,34ENQ@302485|Phaeobacter	28211|Alphaproteobacteria	H	Aminotransferase class-III	-	-	2.6.1.96	ko:K16871	ko00250,ko00650,ko01100,ko01120,map00250,map00650,map01100,map01120	M00027	R10178	RC00008,RC00062	ko00000,ko00001,ko00002,ko01000	-	-	-	Aminotran_3
gene-OL67_RS04880	1423144.Gal_02553	1.3e-211	585.0	28NCN@1|root,2ZBFM@2|Bacteria,1R4TR@1224|Proteobacteria,2U4EI@28211|Alphaproteobacteria,34EYV@302485|Phaeobacter	28211|Alphaproteobacteria	L	Restriction endonuclease NaeI	-	-	-	-	-	-	-	-	-	-	-	-	NaeI
gene-OL67_RS04885	1423144.Gal_02552	3.44e-238	654.0	COG0270@1|root,COG0270@2|Bacteria,1MV9H@1224|Proteobacteria,2TUCJ@28211|Alphaproteobacteria,34F1X@302485|Phaeobacter	28211|Alphaproteobacteria	H	C-5 cytosine-specific DNA methylase	-	-	2.1.1.37	ko:K00558	ko00270,ko01100,ko05206,map00270,map01100,map05206	M00035	R04858	RC00003,RC00332	ko00000,ko00001,ko00002,ko01000,ko02048,ko03032,ko03036	-	-	-	DNA_methylase
gene-OL67_RS04895	391619.PGA1_c09410	1.11e-37	126.0	2CHFJ@1|root,300VR@2|Bacteria,1PRKT@1224|Proteobacteria,2V3VT@28211|Alphaproteobacteria,34GKF@302485|Phaeobacter	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gene-OL67_RS04900	391619.PGA1_c09420	0.0	2250.0	COG1038@1|root,COG1038@2|Bacteria,1NW9R@1224|Proteobacteria,2TQXU@28211|Alphaproteobacteria,34EIT@302485|Phaeobacter	28211|Alphaproteobacteria	C	Catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second	pyc	-	6.4.1.1	ko:K01958	ko00020,ko00620,ko00720,ko01100,ko01120,ko01200,ko01230,map00020,map00620,map00720,map01100,map01120,map01200,map01230	M00173	R00344	RC00040,RC00367	ko00000,ko00001,ko00002,ko01000	-	-	-	Biotin_carb_C,Biotin_carb_N,Biotin_lipoyl,CPSase_L_D2,HMGL-like,PYC_OADA
gene-OL67_RS04905	391619.PGA1_c09430	1.06e-280	768.0	COG1304@1|root,COG1304@2|Bacteria,1MUEZ@1224|Proteobacteria,2TQNW@28211|Alphaproteobacteria,34DV6@302485|Phaeobacter	28211|Alphaproteobacteria	C	FMN-dependent dehydrogenase	lldD2	-	1.1.2.3,1.1.99.31	ko:K00101,ko:K15054	ko00620,ko00627,ko01100,ko01120,map00620,map00627,map01100,map01120	-	R00196,R04160,R07664	RC00044,RC00240	ko00000,ko00001,ko01000	-	-	-	FMN_dh
gene-OL67_RS04910	391619.PGA1_c09440	0.0	999.0	COG2199@1|root,COG2203@1|root,COG2203@2|Bacteria,COG3706@2|Bacteria,1NECV@1224|Proteobacteria,2TW6S@28211|Alphaproteobacteria,34EC9@302485|Phaeobacter	28211|Alphaproteobacteria	T	Domain present in phytochromes and cGMP-specific phosphodiesterases.	-	-	-	-	-	-	-	-	-	-	-	-	4HB_MCP_1,CHASE3,GGDEF,HAMP
gene-OL67_RS04915	1423144.Gal_02546	0.0	1552.0	COG0210@1|root,COG0210@2|Bacteria,1MU0G@1224|Proteobacteria,2TS2B@28211|Alphaproteobacteria,34EDR@302485|Phaeobacter	28211|Alphaproteobacteria	L	UvrD/REP helicase N-terminal domain	uvrD	-	3.6.4.12	ko:K03657	ko03420,ko03430,map03420,map03430	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	UvrD-helicase,UvrD_C
gene-OL67_RS04920	391619.PGA1_c09460	6.66e-43	140.0	COG5457@1|root,COG5457@2|Bacteria,1NGSY@1224|Proteobacteria,2UJV7@28211|Alphaproteobacteria,34FZR@302485|Phaeobacter	28211|Alphaproteobacteria	S	Domain of unknown function (DUF1127)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1127
gene-OL67_RS04925	1423144.Gal_02544	1.26e-247	681.0	COG0489@1|root,COG0489@2|Bacteria,1MU7R@1224|Proteobacteria,2TRDM@28211|Alphaproteobacteria,34DUS@302485|Phaeobacter	28211|Alphaproteobacteria	D	Binds and transfers iron-sulfur (Fe-S) clusters to target apoproteins. Can hydrolyze ATP	mrp	-	-	ko:K03593	-	-	-	-	ko00000,ko03029,ko03036	-	-	-	FeS_assembly_P,ParA
gene-OL67_RS04930	1423144.Gal_02543	8.28e-108	311.0	COG2001@1|root,COG2001@2|Bacteria,1RHCG@1224|Proteobacteria,2UD3W@28211|Alphaproteobacteria,34FDU@302485|Phaeobacter	28211|Alphaproteobacteria	K	MraZ protein, putative antitoxin-like	mraZ	-	-	ko:K03925	-	-	-	-	ko00000	-	-	-	MraZ
gene-OL67_RS04935	1423144.Gal_02542	2.72e-236	650.0	COG0275@1|root,COG0275@2|Bacteria,1MUT4@1224|Proteobacteria,2TRQA@28211|Alphaproteobacteria,34E3E@302485|Phaeobacter	28211|Alphaproteobacteria	J	Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA	rsmH	GO:0000154,GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008173,GO:0008649,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016434,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0070475,GO:0071424,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:0140102,GO:1901360	2.1.1.199	ko:K03438	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	Methyltransf_5
gene-OL67_RS04940	1423144.Gal_02541	4.37e-81	240.0	COG5462@1|root,COG5462@2|Bacteria,1N1DA@1224|Proteobacteria,2UBXT@28211|Alphaproteobacteria,34FRM@302485|Phaeobacter	28211|Alphaproteobacteria	S	secreted (Periplasmic) protein	-	-	-	-	-	-	-	-	-	-	-	-	-
gene-OL67_RS04945	1423144.Gal_02540	0.0	1148.0	COG0768@1|root,COG0768@2|Bacteria,1MUNY@1224|Proteobacteria,2TSHQ@28211|Alphaproteobacteria,34E1X@302485|Phaeobacter	28211|Alphaproteobacteria	M	Penicillin-binding Protein dimerisation domain	ftsI	-	3.4.16.4	ko:K03587	ko00550,ko01501,map00550,map01501	-	-	-	ko00000,ko00001,ko01000,ko01011,ko03036	-	-	-	PBP_dimer,Transpeptidase
gene-OL67_RS04950	391619.PGA1_c09520	0.0	941.0	COG0769@1|root,COG0769@2|Bacteria,1MU6P@1224|Proteobacteria,2TVXI@28211|Alphaproteobacteria,34F86@302485|Phaeobacter	28211|Alphaproteobacteria	M	Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan	murE	-	6.3.2.13	ko:K01928	ko00300,ko00550,map00300,map00550	-	R02788	RC00064,RC00090	ko00000,ko00001,ko01000,ko01011	-	-	-	Mur_ligase,Mur_ligase_C,Mur_ligase_M
gene-OL67_RS04955	391619.PGA1_c09530	9.09e-301	825.0	COG0770@1|root,COG0770@2|Bacteria,1QTSF@1224|Proteobacteria,2TR0Q@28211|Alphaproteobacteria,34E98@302485|Phaeobacter	28211|Alphaproteobacteria	M	Involved in cell wall formation. Catalyzes the final step in the synthesis of UDP-N-acetylmuramoyl-pentapeptide, the precursor of murein	murF	-	6.3.2.10,6.3.2.13	ko:K01928,ko:K01929,ko:K15792	ko00300,ko00550,ko01100,ko01502,map00300,map00550,map01100,map01502	-	R02788,R04573,R04617	RC00064,RC00090,RC00141	ko00000,ko00001,ko01000,ko01011	-	-	-	Mur_ligase,Mur_ligase_C,Mur_ligase_M
gene-OL67_RS04960	1423144.Gal_02537	5.87e-255	699.0	COG0472@1|root,COG0472@2|Bacteria,1MUTK@1224|Proteobacteria,2TRUG@28211|Alphaproteobacteria,34EXC@302485|Phaeobacter	28211|Alphaproteobacteria	M	First step of the lipid cycle reactions in the biosynthesis of the cell wall peptidoglycan	mraY	-	2.7.8.13	ko:K01000	ko00550,ko01100,ko01502,map00550,map01100,map01502	-	R05629,R05630	RC00002,RC02753	ko00000,ko00001,ko01000,ko01011	9.B.146	-	-	Glycos_transf_4,MraY_sig1
gene-OL67_RS04965	439497.RR11_323	1.04e-213	590.0	COG2066@1|root,COG2066@2|Bacteria,1MWB5@1224|Proteobacteria,2TS8X@28211|Alphaproteobacteria	28211|Alphaproteobacteria	E	Belongs to the glutaminase family	glsA	-	3.5.1.2	ko:K01425	ko00220,ko00250,ko00471,ko01100,ko04724,ko04727,ko04964,ko05206,ko05230,map00220,map00250,map00471,map01100,map04724,map04727,map04964,map05206,map05230	-	R00256,R01579	RC00010,RC02798	ko00000,ko00001,ko01000	-	-	-	Glutaminase
gene-OL67_RS04970	1423144.Gal_02535	0.0	887.0	COG0771@1|root,COG0771@2|Bacteria,1MVYD@1224|Proteobacteria,2TTE8@28211|Alphaproteobacteria,34DTK@302485|Phaeobacter	28211|Alphaproteobacteria	D	Cell wall formation. Catalyzes the addition of glutamate to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanine (UMA)	murD	-	6.3.2.9	ko:K01925	ko00471,ko00550,ko01100,map00471,map00550,map01100	-	R02783	RC00064,RC00141	ko00000,ko00001,ko01000,ko01011	-	-	-	Mur_ligase_C,Mur_ligase_M
gene-OL67_RS04975	1423144.Gal_02534	5.55e-95	277.0	COG1846@1|root,COG1846@2|Bacteria,1N1QP@1224|Proteobacteria,2US3V@28211|Alphaproteobacteria,34FKW@302485|Phaeobacter	28211|Alphaproteobacteria	K	Transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	MarR_2
gene-OL67_RS04980	391619.PGA1_c09580	7.58e-67	202.0	COG1359@1|root,COG1359@2|Bacteria,1N6ZK@1224|Proteobacteria,2UGCE@28211|Alphaproteobacteria,34FNZ@302485|Phaeobacter	28211|Alphaproteobacteria	S	Antibiotic biosynthesis monooxygenase	-	-	-	-	-	-	-	-	-	-	-	-	ABM
gene-OL67_RS04985	391619.PGA1_c09590	1.4e-281	769.0	COG2081@1|root,COG2081@2|Bacteria,1MUGC@1224|Proteobacteria,2TTXA@28211|Alphaproteobacteria,34EEW@302485|Phaeobacter	28211|Alphaproteobacteria	S	HI0933-like protein	yhiN	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464	-	ko:K07007	-	-	-	-	ko00000	-	-	-	HI0933_like
gene-OL67_RS04990	391619.PGA1_c09600	9.69e-269	739.0	COG0772@1|root,COG0772@2|Bacteria,1MVDB@1224|Proteobacteria,2TQSA@28211|Alphaproteobacteria,34EJ7@302485|Phaeobacter	28211|Alphaproteobacteria	D	Cell cycle protein	ftsW	-	-	ko:K03588	ko04112,map04112	-	-	-	ko00000,ko00001,ko02000,ko03036	2.A.103.1	-	-	FTSW_RODA_SPOVE
gene-OL67_RS04995	391619.PGA1_c09610	1.32e-249	686.0	COG0707@1|root,COG0707@2|Bacteria,1MVIB@1224|Proteobacteria,2TSEY@28211|Alphaproteobacteria,34DXU@302485|Phaeobacter	28211|Alphaproteobacteria	M	Cell wall formation. Catalyzes the transfer of a GlcNAc subunit on undecaprenyl-pyrophosphoryl-MurNAc-pentapeptide (lipid intermediate I) to form undecaprenyl-pyrophosphoryl-MurNAc- (pentapeptide)GlcNAc (lipid intermediate II)	murG	-	2.4.1.227	ko:K02563	ko00550,ko01100,ko01502,ko04112,map00550,map01100,map01502,map04112	-	R05032,R05662	RC00005,RC00049	ko00000,ko00001,ko01000,ko01011	-	GT28	-	Glyco_tran_28_C,Glyco_transf_28
gene-OL67_RS05000	391619.PGA1_c09620	0.0	922.0	COG0773@1|root,COG0773@2|Bacteria,1MV68@1224|Proteobacteria,2TRT0@28211|Alphaproteobacteria,34F9N@302485|Phaeobacter	28211|Alphaproteobacteria	M	Belongs to the MurCDEF family	murC	-	6.3.2.8	ko:K01924	ko00471,ko00550,ko01100,map00471,map00550,map01100	-	R03193	RC00064,RC00141	ko00000,ko00001,ko01000,ko01011	-	-	-	Mur_ligase,Mur_ligase_C,Mur_ligase_M
gene-OL67_RS05005	1423144.Gal_02528	1.09e-51	163.0	2EBV1@1|root,3194J@2|Bacteria,1Q1SQ@1224|Proteobacteria,2V9EX@28211|Alphaproteobacteria,34GIC@302485|Phaeobacter	28211|Alphaproteobacteria	S	Protein of unknown function (DUF2484)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2484
gene-OL67_RS05010	391619.PGA1_c09640	3.8e-56	174.0	2E3A0@1|root,32Y9H@2|Bacteria,1N7SF@1224|Proteobacteria,2UFDS@28211|Alphaproteobacteria,34FTD@302485|Phaeobacter	28211|Alphaproteobacteria	S	Protein of unknown function (DUF2484)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2484
gene-OL67_RS05015	1423144.Gal_02526	4.37e-212	587.0	COG0812@1|root,COG0812@2|Bacteria,1MXDH@1224|Proteobacteria,2TRQR@28211|Alphaproteobacteria,34E69@302485|Phaeobacter	28211|Alphaproteobacteria	M	Cell wall formation	murB	-	1.3.1.98	ko:K00075	ko00520,ko00550,ko01100,map00520,map00550,map01100	-	R03191,R03192	RC02639	ko00000,ko00001,ko01000,ko01011	-	-	-	FAD_binding_4,MurB_C
